codigo_lista,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10
rosina_servetto_b_3,Tío tío ,Misto,Dorado,Ratonera,Benteveo ,Carpintero de campo,Gargantillo,Carpintero nuca roja,Martineta,Cotorra
rosina_servetto_b_4,Picaflor verde,Churrinche,Ratonera,Cotorra ,Pijui,Chingolo,Cigüeña común,Martín pescador mediano,Hornero,Benteveo
rosina_servetto_b_5,Cardenal copete rojo,Tío tío,Benteveo,Dorado,Ratonera,Garza amarilla,Arañero cara negra,Churrinche,Carancho,Fío fío pico corto
rosina_servetto_b_6,Tero,Pico de plata,Tijereta,Benteveo real,Benteveo,Pecho amarillo,Paloma de ala manchada,Picaflor bronceado,Hornero,Fío fío pico corto
rosina_servetto_b_7,Cotorra,Zorzal,Ratonera,Paloma montaraz,Pitiayumi ,Arañero chico,Mosqueta de monte,Titiri ,Arañero chico,Arañero oliváceo
rosina_servetto_b_8,Chivi ,Arañero chico,Arañero olivaceo ,Pitiayumi,Anambe negro,Chingolo,Picaflor bronceado ,Rey del bosque verdoso ,Garza bruja, Buitre cabeza negra
rosina_servetto_b_9,Buitre cabeza roja,Benteveo rayado ,Martín pescador mediano,Gavilán ceniciento ,Picaflor bronceado,Churrinche,Gavilán común ,Benteveo,Carancho ,Cardenal copete rojo
rosina_servetto_c_1,Tijereta,Gorrión,Tordo,Tero,Benteveo,Chimango,Pecho amarillo,Perdiz,Cotorra,Pecho colorado
rosina_servetto_c_10,Viudita,Fiofio,Tijereta,Chingolo,Dorado,Picaflor verde,Cachirla com,Junquero,Tiquitiqui oscuro,Cuervillo de cañada
rosina_servetto_c_11,Menor patas amarillas,Cocinera,Tero real,Coscoroba,Alférez,Tijereta,Montaraz,Gaviotin antifaz,Rabadilla blanca,Cachirla com
rosina_servetto_c_12,Mayor patas amarillas,Chorlo dorado,Tero real,Montaraz,Bigua,Chiricote,Curutie,Capucho cafe,Pato capuchino,Parda grande
rosina_servetto_c_13,Músico,Tijereta,Cigüeña,Coscoroba,Chimango,Chorlo dorado,Perdiz,Cisne cuello negro,Tero,Rabadilla blanca
rosina_servetto_c_14,Garza mora,Cigüeña cara pelada,Chivi,,,,,,,
rosina_servetto_c_2,Perdiz,Tero,Dorado,Lechucita,Chimango,Viudita chica,Pecho amarillo,Hornero,Cuervillo cañada,Golondrina ceja blanca
rosina_servetto_c_3,Dorado,Golondrina ceja blanca,Perdiz,Coscoroba,Carao,Hornero,Pato barcino,Paloma ala manchada,Picabuey,Carancho
rosina_servetto_c_4,Zorzal,Ratonera,Chorlo Dorado,Benteveo real,Misto,Tero,Viudita,Sabia,Parda grande,
rosina_servetto_c_5,Mora,Benteveo real,Zorzal,Cuervillo pelada,Tijereta,Paloma de monte,Viudita blanca chica,Garza blanca grande,Hornero,Chorlo dorado
rosina_servetto_c_6,Cigüeña común,Chorolo Dorado,Parda grande,Churrinche,Cardenal copete rojo,Pato brasilero,Tordo,Gol Tijereta,Bigua,Maca grande
rosina_servetto_c_7,Maca Pico grueso,Mayor patas amarillas,Tero,Gallineta grande,Cisne cuello negro,Tero real,Barcino,Picaflor bronceado,Playerito manchado,Pico plata
rosina_servetto_c_8,Dorado,Bueyera,Tijereta,Pijui,Tiotio,Martin pescador chico,Ceja blanca,Gallareta com,Menor patas amarillas,Gol Tijereta
rosina_servetto_c_9,Carpintero nuca roja,Pato barcino,Garza blanca grande,Bigua,Gorrión,Misto,Benteveo,Tero,Vinchero,Zorzal
