Especies,Conteo,Localidad,Tipo de Observación,Fecha de la Observación,HORA DE INICIO,DURACION,DISTANCIA RECORRIDA,AREA CUBIERTA,ELEVACIóN:,Número de Personas que Salieron a Observar Aves,Lista completa,# de especies,Detalles
Chajá (Chauna torquata),2,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:16 PM,6 minuto(s),0.254 kilómetro(s),,,4,true,10 especies,
Chorlo Dorado (Pluvialis dominica),40,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:16 PM,6 minuto(s),0.254 kilómetro(s),,,4,true,10 especies,
Tero (Vanellus chilensis),2,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:16 PM,6 minuto(s),0.254 kilómetro(s),,,4,true,10 especies,
Playero Menor Patas Amarillas (Tringa flavipes),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:16 PM,6 minuto(s),0.254 kilómetro(s),,,4,true,10 especies,
Cigüeña Común (Ciconia maguari),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:16 PM,6 minuto(s),0.254 kilómetro(s),,,4,true,10 especies,
Cuervillo de Cañada (Plegadis chihi),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:16 PM,6 minuto(s),0.254 kilómetro(s),,,4,true,10 especies,
Carancho (Caracara plancus),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:16 PM,6 minuto(s),0.254 kilómetro(s),,,4,true,10 especies,
Cotorra (Myiopsitta monachus),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:16 PM,6 minuto(s),0.254 kilómetro(s),,,4,true,10 especies,
Tijereta (Tyrannus savana),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:16 PM,6 minuto(s),0.254 kilómetro(s),,,4,true,10 especies,
Pecho Amarillo (Pseudoleistes virescens),8,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:16 PM,6 minuto(s),0.254 kilómetro(s),,,4,true,10 especies,
