Especies,Conteo,Localidad,Tipo de Observación,Fecha de la Observación,HORA DE INICIO,DURACION,DISTANCIA RECORRIDA,AREA CUBIERTA,ELEVACIóN:,Número de Personas que Salieron a Observar Aves,Lista completa,# de especies,Detalles
Chajá (Chauna torquata),2,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:36 PM,10 minuto(s),0.204 kilómetro(s),,,4,true,10 especies,
Chorlo Dorado (Pluvialis dominica),2,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:36 PM,10 minuto(s),0.204 kilómetro(s),,,4,true,10 especies,
Tero (Vanellus chilensis),2,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:36 PM,10 minuto(s),0.204 kilómetro(s),,,4,true,10 especies,
Playerito Pecho Gris (Calidris melanotos),3,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:36 PM,10 minuto(s),0.204 kilómetro(s),,,4,true,10 especies,
Cigüeña Común (Ciconia maguari),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:36 PM,10 minuto(s),0.204 kilómetro(s),,,4,true,10 especies,
Cuervillo Cara Pelada (Phimosus infuscatus),2,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:36 PM,10 minuto(s),0.204 kilómetro(s),,,4,true,10 especies,
Bandurria Mora (Theristicus caerulescens),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:36 PM,10 minuto(s),0.204 kilómetro(s),,,4,true,10 especies,
Espátula Rosada (Platalea ajaja),2,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:36 PM,10 minuto(s),0.204 kilómetro(s),,,4,true,10 especies,
Benteveo (Pitangus sulphuratus),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:36 PM,10 minuto(s),0.204 kilómetro(s),,,4,true,10 especies,
Golondrina Tijereta (Hirundo rustica),2,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:36 PM,10 minuto(s),0.204 kilómetro(s),,,4,true,10 especies,
