Especies,Conteo,Localidad,Tipo de Observación,Fecha de la Observación,HORA DE INICIO,DURACION,DISTANCIA RECORRIDA,AREA CUBIERTA,ELEVACIóN:,Número de Personas que Salieron a Observar Aves,Lista completa,# de especies,Detalles
Gaviota Capucho Café (Chroicocephalus maculipennis),2,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Gaviota Cocinera (Larus dominicanus),1,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Gaviotín Chico (Sternula superciliaris),4,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Gaviotín de Antifaz (Sterna trudeaui),1,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Macá Pico Grueso (Podilymbus podiceps),1,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Macá Grande (Podiceps major),2,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Cigüeña Común (Ciconia maguari),2,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Cigüeña Cabeza Pelada (Mycteria americana),1,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Biguá (Nannopterum brasilianum),2,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Cuervillo de Cañada (Plegadis chihi),7,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Cuervillo Cara Pelada (Phimosus infuscatus),2,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
Bandurria Mora (Theristicus caerulescens),1,Establecimiento Guardia del Monte (Rural/Turístico),Con Desplazamiento,15-ene-2025,5:59,"3 hora(s), 17 minuto(s)",5.89 kilómetro(s),,,5,true,97 especies,
