Especies,Conteo,Localidad,Tipo de Observación,Fecha de la Observación,HORA DE INICIO,DURACION,DISTANCIA RECORRIDA,AREA CUBIERTA,ELEVACIóN:,Número de Personas que Salieron a Observar Aves,Lista completa,# de especies,Detalles
Tero (Vanellus chilensis),2,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:47 PM,10 minuto(s),0.156 kilómetro(s),,,4,true,9 especies (+1 otros taxones),
Playero Solitario (Tringa solitaria),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:47 PM,10 minuto(s),0.156 kilómetro(s),,,4,true,9 especies (+1 otros taxones),
Playero Menor Patas Amarillas (Tringa flavipes),2,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:47 PM,10 minuto(s),0.156 kilómetro(s),,,4,true,9 especies (+1 otros taxones),
Cigüeña Cabeza Pelada (Mycteria americana),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:47 PM,10 minuto(s),0.156 kilómetro(s),,,4,true,9 especies (+1 otros taxones),
Garza Blanca Grande (Ardea alba),2,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:47 PM,10 minuto(s),0.156 kilómetro(s),,,4,true,9 especies (+1 otros taxones),
Caracolero (Rostrhamus sociabilis),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:47 PM,10 minuto(s),0.156 kilómetro(s),,,4,true,9 especies (+1 otros taxones),
Benteveo (Pitangus sulphuratus),2,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:47 PM,10 minuto(s),0.156 kilómetro(s),,,4,true,9 especies (+1 otros taxones),
Tijereta (Tyrannus savana),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:47 PM,10 minuto(s),0.156 kilómetro(s),,,4,true,9 especies (+1 otros taxones),
Golondrina Ceja Blanca (Tachycineta leucorrhoa),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:47 PM,10 minuto(s),0.156 kilómetro(s),,,4,true,9 especies (+1 otros taxones),
Cachirla indeterminada (Anthus sp.),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:47 PM,10 minuto(s),0.156 kilómetro(s),,,4,true,9 especies (+1 otros taxones),
