Especies,Conteo,Localidad,Tipo de Observación,Fecha de la Observación,HORA DE INICIO,DURACION,DISTANCIA RECORRIDA,AREA CUBIERTA,ELEVACIóN:,Número de Personas que Salieron a Observar Aves,Lista completa,# de especies,Detalles
Garza Bruja (Nycticorax nycticorax),1,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Garza Amarilla (Syrigma sibilatrix),3,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Garza Blanca Chica (Egretta thula),2,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Garcita Azulada (Butorides striata),1,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Garza Blanca Grande (Ardea alba),6,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Garza Mora (Ardea cocoi),1,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Cuervo Cabeza Negra (Coragyps atratus),1,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Cuervo Cabeza Roja (Cathartes aura),1,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Gavilán Ceniciento (Circus cinereus),1,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Caracolero (Rostrhamus sociabilis),1,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Águila Colorada (Buteogallus meridionalis),2,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Gavilán Común (Rupornis magnirostris),1,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Martín Pescador Mediano (Chloroceryle amazona),1,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Martín Pescador Chico (Chloroceryle americana),1,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Carpinterito Enano (Picumnus nebulosus),1,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Carpintero Nuca Roja (Colaptes melanochloros),1,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Carpintero de Campo (Colaptes campestris),1,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Carancho (Caracara plancus),6,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Chimango (Daptrius chimango),2,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Cotorra (Myiopsitta monachus),4,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Hornero (Furnarius rufus),4,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Junquero (Phleocryptes melanops),1,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Titirí (Syndactyla rufosuperciliata),1,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Tiotío Común (Phacellodomus striaticollis),2,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Trepadorcito (Cranioleuca pyrrhophia),1,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Pijuí Común (Synallaxis spixi),2,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Anambé Negro (Pachyramphus polychopterus),1,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Piojito Silbón (Camptostoma obsoletum),1,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Fiofío Pico Corto (Elaenia parvirostris),1,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Tiquitiqui Oscuro (Serpophaga nigricans),1,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
Tiquitiqui Común (Serpophaga subcristata),1,"Departamento de Rocha, UY (-34.255, -53.982)",Con Desplazamiento,14-ene-2025,6:01,"5 hora(s), 25 minuto(s)",8.55 kilómetro(s),,,5,true,100 especies,
