Especies,Conteo,Localidad,Tipo de Observación,Fecha de la Observación,HORA DE INICIO,DURACION,DISTANCIA RECORRIDA,AREA CUBIERTA,ELEVACIóN:,Número de Personas que Salieron a Observar Aves,Lista completa,# de especies,Detalles
Chorlo Dorado (Pluvialis dominica),5,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:22 PM,13 minuto(s),0.209 kilómetro(s),,,4,true,10 especies,
Tero (Vanellus chilensis),3,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:22 PM,13 minuto(s),0.209 kilómetro(s),,,4,true,10 especies,
Playerito Canela (Calidris subruficollis),11,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:22 PM,13 minuto(s),0.209 kilómetro(s),,,4,true,10 especies,
Playerito Pecho Gris (Calidris melanotos),2,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:22 PM,13 minuto(s),0.209 kilómetro(s),,,4,true,10 especies,
Cuervillo de Cañada (Plegadis chihi),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:22 PM,13 minuto(s),0.209 kilómetro(s),,,4,true,10 especies,
Cuervillo Cara Pelada (Phimosus infuscatus),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:22 PM,13 minuto(s),0.209 kilómetro(s),,,4,true,10 especies,
Espátula Rosada (Platalea ajaja),3,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:22 PM,13 minuto(s),0.209 kilómetro(s),,,4,true,10 especies,
Garza Blanca Chica (Egretta thula),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:22 PM,13 minuto(s),0.209 kilómetro(s),,,4,true,10 especies,
Carancho (Caracara plancus),9,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:22 PM,13 minuto(s),0.209 kilómetro(s),,,4,true,10 especies,
Benteveo (Pitangus sulphuratus),1,Laguna de Castillos--Área general,Con Desplazamiento,17/12/2024,05:22 PM,13 minuto(s),0.209 kilómetro(s),,,4,true,10 especies,
