Especies,Conteo,Localidad,Tipo de Observación,Fecha de la Observación,HORA DE INICIO,DURACION,DISTANCIA RECORRIDA,AREA CUBIERTA,ELEVACIóN:,Número de Personas que Salieron a Observar Aves,Lista completa,# de especies,Detalles
Cuervillo Cara Pelada (Phimosus infuscatus),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Espátula Rosada (Platalea ajaja),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Garza Blanca Chica (Egretta thula),2,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Garcita Azulada (Butorides striata),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Garza Blanca Grande (Ardea alba),2,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Garza Mora (Ardea cocoi),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Gavilán Ceniciento (Circus cinereus),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Carpintero Nuca Roja (Colaptes melanochloros),2,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Carpintero de Campo (Colaptes campestris),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Carancho (Caracara plancus),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Chimango (Daptrius chimango),2,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Cotorra (Myiopsitta monachus),3,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Hornero (Furnarius rufus),2,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Tiotío Común (Phacellodomus striaticollis),2,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Curutié Ocráceo (Limnoctites sulphuriferus),2,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Curutié Colorado (Certhiaxis cinnamomeus),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Pijuí Común (Synallaxis spixi),2,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Tiquitiqui Común (Serpophaga subcristata),2,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Mosqueta Estriada (Myiophobus fasciatus),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Churrinche (Pyrocephalus rubinus),3,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Pico de Plata (Hymenops perspicillatus),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Benteveo (Pitangus sulphuratus),4,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Benteveo Real (Tyrannus melancholicus),2,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Tijereta (Tyrannus savana),2,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Juan Chiviro (Cyclarhis gujanensis),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Golondrina Ceja Blanca (Tachycineta leucorrhoa),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Golondrina Azul Grande (Progne chalybea),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Golondrina Parda Grande (Progne tapera),2,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Golondrina Azul Chica (Pygochelidon cyanoleuca),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Golondrina Tijereta (Hirundo rustica),20,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Piojito Azulado (Polioptila dumicola),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Ratonera (Troglodytes musculus),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Sabiá (Turdus amaurochalinus),2,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Cachirla Chica (Anthus chii),8,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Cachirla Uña Larga (Anthus correndera),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Cabecitanegra (Spinus magellanicus),2,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Chingolo (Zonotrichia capensis),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Pecho Colorado (Leistes superciliaris),3,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Alférez (Agelasticus thilius),4,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Pecho Amarillo (Pseudoleistes virescens),70,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Pitiayumí (Setophaga pitiayumi),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Dorado (Sicalis flaveola),7,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Misto (Sicalis luteola),2,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Dominó (Sporophila collaris),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
Rey del Bosque Verdoso (Saltator similis),1,"1686 Vecinal a Guarida Monte, Departamento de Rocha, UY (-34.269, -53.89)",Con Desplazamiento,13-ene-2025,6:06,"2 hora(s), 29 minuto(s)",5.03 kilómetro(s),,,5,true,69 especies,
