Especies,Conteo,Localidad,Tipo de Observación,Fecha de la Observación,HORA DE INICIO,DURACION,DISTANCIA RECORRIDA,AREA CUBIERTA,ELEVACIóN:,Número de Personas que Salieron a Observar Aves,Lista completa,# de especies,Detalles
Pirincho (Guira guira),1,Laguna de Castillos--Área general,Estacionario,17/12/2024,04:28 PM,5 minuto(s),,,,1,true,10 especies,
Tero (Vanellus chilensis),2,Laguna de Castillos--Área general,Estacionario,17/12/2024,04:28 PM,5 minuto(s),,,,1,true,10 especies,
Cotorra (Myiopsitta monachus),2,Laguna de Castillos--Área general,Estacionario,17/12/2024,04:28 PM,5 minuto(s),,,,1,true,10 especies,
Churrinche (Pyrocephalus rubinus),1,Laguna de Castillos--Área general,Estacionario,17/12/2024,04:28 PM,5 minuto(s),,,,1,true,10 especies,
Picabuey (Machetornis rixosa),1,Laguna de Castillos--Área general,Estacionario,17/12/2024,04:28 PM,5 minuto(s),,,,1,true,10 especies,
Benteveo (Pitangus sulphuratus),1,Laguna de Castillos--Área general,Estacionario,17/12/2024,04:28 PM,5 minuto(s),,,,1,true,10 especies,
Tijereta (Tyrannus savana),1,Laguna de Castillos--Área general,Estacionario,17/12/2024,04:28 PM,5 minuto(s),,,,1,true,10 especies,
Chingolo (Zonotrichia capensis),2,Laguna de Castillos--Área general,Estacionario,17/12/2024,04:28 PM,5 minuto(s),,,,1,true,10 especies,
Cardenal Copete Rojo (Paroaria coronata),4,Laguna de Castillos--Área general,Estacionario,17/12/2024,04:28 PM,5 minuto(s),,,,1,true,10 especies,
Dorado (Sicalis flaveola),9,Laguna de Castillos--Área general,Estacionario,17/12/2024,04:28 PM,5 minuto(s),,,,1,true,10 especies,
